epoch,train_loss,train_acc_pct,val_loss,val_acc_pct
1,0.0189,84.83,0.3798,62.02
2,0.0136,90.48,0.3649,63.51
3,0.0108,92.86,0.3692,63.08
4,0.0097,93.52,0.3639,63.61
5,0.0089,94.15,0.3903,60.97
6,0.0082,94.73,0.3857,61.43
7,0.0076,95.01,0.3882,61.18
8,0.0072,95.42,0.3866,61.34
9,0.0067,95.69,0.369,63.1
10,0.0062,96.05,0.3749,62.51
11,0.0059,96.27,0.393,60.7
12,0.0055,96.46,0.3761,62.39
13,0.0051,96.81,0.4098,59.02
14,0.0048,96.96,0.4316,56.84
15,0.0045,97.16,0.4192,58.08
